GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	2C_Embryo1	2C_Embryo1-Q	2C_Embryo2	2C_Embryo2-Q	2C_Embryo3	2C_Embryo3-Q	4C_Embryo1	4C_Embryo1-Q	4C_Embryo2	4C_Embryo2-Q	4C_Embryo3	4C_Embryo3-Q
CENPK	HsaALTA0001778-1/2	chr5:64824820-64824844	0	chr5:64824944,64824820-64824876+64824844	Alt3	99.59	Pass	100.00	Pass	99.30	Pass	100.00	Pass	100.00	Pass	99.41	Pass
CENPK	HsaALTA0001778-2/2	chr5:64824820-64824876	32	chr5:64824944,64824820-64824876+64824844	Alt3	0.41	Pass	0.00	Pass	0.70	Pass	0.00	Pass	0.00	Pass	0.59	Pass
CENPK	HsaALTA0001779-1/2	chr5:64850624-64850725	0	chr5:64857290,64850624-64850773+64850725	Alt3	4.27	Pass	2.54	Pass	1.37	Pass	9.85	Pass	0.76	Pass	0.00	Pass
CENPK	HsaALTA0001779-2/2	chr5:64850624-64850773	48	chr5:64857290,64850624-64850773+64850725	Alt3	95.73	Pass	97.46	Pass	98.63	Pass	90.15	Pass	99.24	Pass	100.00	Pass
OPTN	HsaALTA0005961-1/2	chr10:13151112-13151288	0	chr10:13142302,13151112+13151097-13151288	Alt3	100.00	Fail	85.71	Fail	100.00	Fail	96.94	Pass	100.00	Fail	89.47	Fail
OPTN	HsaALTA0005961-2/2	chr10:13151097-13151288	15	chr10:13142302,13151112+13151097-13151288	Alt3	0.00	Fail	14.29	Fail	0.00	Fail	3.06	Pass	0.00	Fail	10.53	Fail
OPTN	HsaALTA0005962-1/2	chr10:13143777-13143885	0	chr10:13142302,13143777+13143773-13143885	Alt3	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
OPTN	HsaALTA0005962-2/2	chr10:13143773-13143885	4	chr10:13142302,13143777+13143773-13143885	Alt3	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
OPTN	HsaALTA0005963-1/2	chr10:13160906-13160980	0	chr10:13158340,13160906+13160888-13160980	Alt3	24.05	Fail	27.04	Pass	24.34	Fail	9.53	Pass	27.36	Pass	29.06	Pass
OPTN	HsaALTA0005963-2/2	chr10:13160888-13160980	18	chr10:13158340,13160906+13160888-13160980	Alt3	75.95	Fail	72.96	Pass	75.66	Fail	90.47	Pass	72.64	Pass	70.94	Pass
OPTN	HsaALTA0005964-1/2	chr10:13152274-13152476	0	chr10:13151288,13152274+13152180-13152476	Alt3	100.00	Fail	76.92	Fail	100.00	Fail	100.00	Pass	100.00	Pass	73.91	Pass
OPTN	HsaALTA0005964-2/2	chr10:13152180-13152476	94	chr10:13151288,13152274+13152180-13152476	Alt3	0.00	Fail	23.08	Fail	0.00	Fail	0.00	Pass	0.00	Pass	26.09	Pass
NCKAP1L	HsaALTA0005597-1/3	chr12:54904153-54904250	0	chr12:54903769,54904153+54904133+54904129-54904250	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NCKAP1L	HsaALTA0005597-2/3	chr12:54904133-54904250	20	chr12:54903769,54904153+54904133+54904129-54904250	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NCKAP1L	HsaALTA0005597-3/3	chr12:54904129-54904250	24	chr12:54903769,54904153+54904133+54904129-54904250	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MMP19	HsaALTA0005273-1/2	chr12:56234533-56234597	0	chr12:56234890,56234533-56234666+56234597	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MMP19	HsaALTA0005273-2/2	chr12:56234533-56234666	69	chr12:56234890,56234533-56234666+56234597	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PFDN5	HsaALTA0006200-1/2	chr12:53689627-53689675	0	chr12:53689423,53689627+53689623-53689675	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
PFDN5	HsaALTA0006200-2/2	chr12:53689623-53689675	4	chr12:53689423,53689627+53689623-53689675	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
PFDN5	HsaALTA0006201-1/2	chr12:53690238-53690251	0	chr12:53689725,53690238+53690214-53690251	Alt3	74.47	Fail	60.00	Fail	55.56	Fail	27.40	Fail	56.07	Fail	47.06	Fail
PFDN5	HsaALTA0006201-2/2	chr12:53690214-53690251	24	chr12:53689725,53690238+53690214-53690251	Alt3	25.53	Fail	40.00	Fail	44.44	Fail	72.60	Fail	43.93	Fail	52.94	Fail
SPATS2	HsaALTA0008160-1/2	chr12:49878373-49878452	0	chr12:49854820,49878373+49878372-49878452	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
SPATS2	HsaALTA0008160-2/2	chr12:49878372-49878452	1	chr12:49854820,49878373+49878372-49878452	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
NR4A1	HsaALTA0005818-1/2	chr12:52451247-52451314	0	chr12:52451043,52451247+52451136-52451314	Alt3	0.00	Fail	NA	Fail	NA	Fail	0.00	Pass	NA	Fail	0.00	Fail
NR4A1	HsaALTA0005818-2/2	chr12:52451136-52451314	111	chr12:52451043,52451247+52451136-52451314	Alt3	100.00	Fail	NA	Fail	NA	Fail	100.00	Pass	NA	Fail	100.00	Fail
NR4A1	HsaALTA0005819-1/2	chr12:52446284-52446429	0	chr12:52445352,52446284+52446280-52446429	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NR4A1	HsaALTA0005819-2/2	chr12:52446280-52446429	4	chr12:52445352,52446284+52446280-52446429	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000124-1/2	chr12:57532304-57532364	0	chr12:57522814,57532304+57532242-57532364	Alt3	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000124-2/2	chr12:57532242-57532364	62	chr12:57522814,57532304+57532242-57532364	Alt3	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000125-1/2	chr12:57548266-57548385	0	chr12:57548153,57548266+57548262-57548385	Alt3	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000125-2/2	chr12:57548262-57548385	4	chr12:57548153,57548266+57548262-57548385	Alt3	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000126-1/3	chr12:57560750-57560826	0	chr12:57559992,57560750+57560736+57560713-57560826	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000126-2/3	chr12:57560736-57560826	14	chr12:57559992,57560750+57560736+57560713-57560826	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000126-3/3	chr12:57560713-57560826	37	chr12:57559992,57560750+57560736+57560713-57560826	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000127-1/2	chr12:57572231-57572358	0	chr12:57571374,57572231+57572142-57572358	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000127-2/2	chr12:57572142-57572358	89	chr12:57571374,57572231+57572142-57572358	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000128-1/3	chr12:57587688-57587792	0	chr12:57587468,57587688+57587684+57587682-57587792	Alt3	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000128-2/3	chr12:57587684-57587792	4	chr12:57587468,57587688+57587684+57587682-57587792	Alt3	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000128-3/3	chr12:57587682-57587792	6	chr12:57587468,57587688+57587684+57587682-57587792	Alt3	NA	Fail	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000129-1/2	chr12:57594524-57594595	0	chr12:57594318,57594524+57594482-57594595	Alt3	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000129-2/2	chr12:57594482-57594595	42	chr12:57594318,57594524+57594482-57594595	Alt3	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
AC137834.1	HsaALTA0000130-1/2	chr12:57595568-57595685	0	chr12:57595402,57595568+57595563-57595685	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
AC137834.1	HsaALTA0000130-2/2	chr12:57595563-57595685	5	chr12:57595402,57595568+57595563-57595685	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail
SMUG1	HsaALTA0008064-1/3	chr12:54581603-54581624	0	chr12:54582735,54581603-54581689+54581686+54581624	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
SMUG1	HsaALTA0008064-2/3	chr12:54581603-54581686	62	chr12:54582735,54581603-54581689+54581686+54581624	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
SMUG1	HsaALTA0008064-3/3	chr12:54581603-54581689	65	chr12:54582735,54581603-54581689+54581686+54581624	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail
SMUG1	HsaALTA0008065-4/4	chr12:54581603-54581690	66	chr12:54582299,54581603-54581690+54581689+54581686+54581624	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
FAM119B	HsaALTA0003099-1/2	chr12:58174039-	0	chr12:58166911,58174039+58174038-	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FAM119B	HsaALTA0003099-2/2	chr12:58174038-	1	chr12:58166911,58174039+58174038-	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SARDH	HsaALTA0007487-1/2	chr9:136531857-136531992	0	chr9:136535706,136531857-136532058+136531992	Alt3	100.00	Pass	100.00	Pass	100.00	Fail	99.27	Pass	100.00	Pass	96.52	Pass
SARDH	HsaALTA0007487-2/2	chr9:136531857-136532058	66	chr9:136535706,136531857-136532058+136531992	Alt3	0.00	Pass	0.00	Pass	0.00	Fail	0.73	Pass	0.00	Pass	3.48	Pass
STIL	HsaALTA0008289-1/3	chr1:47728575-47728734	0	chr1:47735307,47728575-47728788+47728785+47728734	Alt3	20.45	Pass	17.24	Pass	30.00	Fail	0.00	Pass	7.29	Pass	27.78	Pass
STIL	HsaALTA0008289-2/3	chr1:47728575-47728785	51	chr1:47735307,47728575-47728788+47728785+47728734	Alt3	34.09	Pass	58.62	Pass	50.00	Fail	31.25	Pass	29.17	Pass	41.27	Pass
STIL	HsaALTA0008289-3/3	chr1:47728575-47728788	54	chr1:47735307,47728575-47728788+47728785+47728734	Alt3	45.45	Pass	24.14	Pass	20.00	Fail	68.75	Pass	63.54	Pass	30.95	Pass
HJURP	HsaALTA0004006-1/2	chr2:234758409-234758490	0	chr2:234761211,234758409-234758505+234758490	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
HJURP	HsaALTA0004006-2/2	chr2:234758409-234758505	15	chr2:234761211,234758409-234758505+234758490	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
AMD1	HsaALTA0000402-1/2	chr6:111210692-111210741	0	chr6:111210186,111210692+111210667-111210741	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
AMD1	HsaALTA0000402-2/2	chr6:111210667-111210741	25	chr6:111210186,111210692+111210667-111210741	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
USP45	HsaALTA0009350-1/2	chr6:99930677-99930759	0	chr6:99936076,99930677-99930760+99930759	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
USP45	HsaALTA0009350-2/2	chr6:99930677-99930760	1	chr6:99936076,99930677-99930760+99930759	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
SERPINA7	HsaALTA0007651-1/2	chrX:-105277694	0	chrX:105278226,-105277755+105277694	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SERPINA7	HsaALTA0007651-2/2	chrX:-105277755	61	chrX:105278226,-105277755+105277694	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MORF4L2	HsaALTA0005294-1/2	chrX:102931907-102931961	0	chrX:102933427,102931907-102931979+102931961	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
MORF4L2	HsaALTA0005294-2/2	chrX:102931907-102931979	18	chrX:102933427,102931907-102931979+102931961	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
MORF4L2	HsaALTA0005295-1/4	chrX:102933429-102933501	0	chrX:102940099,102933429-102933579+102933548+102933528+102933501	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
MORF4L2	HsaALTA0005295-2/4	chrX:102933429-102933528	27	chrX:102940099,102933429-102933579+102933548+102933528+102933501	Alt3	76.87	Pass	72.09	Pass	69.23	Pass	81.04	Pass	87.79	Pass	69.34	Pass
MORF4L2	HsaALTA0005295-3/4	chrX:102933429-102933548	47	chrX:102940099,102933429-102933579+102933548+102933528+102933501	Alt3	1.49	Pass	0.00	Pass	0.00	Pass	5.20	Pass	0.00	Pass	10.22	Pass
MORF4L2	HsaALTA0005295-4/4	chrX:102933429-102933579	78	chrX:102940099,102933429-102933579+102933548+102933528+102933501	Alt3	21.64	Pass	27.91	Pass	30.77	Pass	13.76	Pass	12.21	Pass	20.44	Pass
MORF4L2	HsaALTA0005296-4/5	chrX:102933429-102933577	76	chrX:102939609,102933429-102933579+102933577+102933548+102933528+102933501	Alt3	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
METTL8	HsaALTA0005145-1/2	chr2:172199824-172199921	0	chr2:172216932,172199824-172199946+172199921	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
METTL8	HsaALTA0005145-2/2	chr2:172199824-172199946	25	chr2:172216932,172199824-172199946+172199921	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
BAZ2B	HsaALTA0000914-1/2	chr2:160304827-160304914	0	chr2:160310124,160304827-160304920+160304914	Alt3	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
BAZ2B	HsaALTA0000914-2/2	chr2:160304827-160304920	6	chr2:160310124,160304827-160304920+160304914	Alt3	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
LPGAT1	HsaALTA0004806-1/2	chr1:212002521-212002661	0	chr1:212003525,212002521-212002665+212002661	Alt3	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail
LPGAT1	HsaALTA0004806-2/2	chr1:212002521-212002665	4	chr1:212003525,212002521-212002665+212002661	Alt3	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail
EXOSC9	HsaALTA0003056-1/2	chr4:122735021-122735202	0	chr4:122732826,122735021+122734910-122735202	Alt3	99.91	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
EXOSC9	HsaALTA0003056-2/2	chr4:122734910-122735202	111	chr4:122732826,122735021+122734910-122735202	Alt3	0.09	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
EXOSC9	HsaALTA0003057-1/2	chr4:122726986-122727103	0	chr4:122725914,122726986+122726982-122727103	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
EXOSC9	HsaALTA0003057-2/2	chr4:122726982-122727103	4	chr4:122725914,122726986+122726982-122727103	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PFKFB2	HsaALTA0006203-1/2	chr1:207236492-207236512	0	chr1:207236061,207236492+207236488-207236512	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
PFKFB2	HsaALTA0006203-2/2	chr1:207236488-207236512	4	chr1:207236061,207236492+207236488-207236512	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
C4BPA	HsaALTA0001285-1/2	chr1:207286346-207286512	0	chr1:207277775,207286346+207286244-207286512	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
C4BPA	HsaALTA0001285-2/2	chr1:207286244-207286512	102	chr1:207277775,207286346+207286244-207286512	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
C4BPB	HsaALTA0001286-1/2	chr1:207263656-207263826	0	chr1:207262934,207263656+207263653-207263826	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail
C4BPB	HsaALTA0001286-2/2	chr1:207263653-207263826	3	chr1:207262934,207263656+207263653-207263826	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail
MXD4	HsaALTA0005456-1/2	chr4:2256882-2257021	0	chr4:2259709,2256882-2257078+2257021	Alt3	NA	Fail	0.00	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail
MXD4	HsaALTA0005456-2/2	chr4:2256882-2257078	57	chr4:2259709,2256882-2257078+2257021	Alt3	NA	Fail	100.00	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail
ACSL3	HsaALTA0000172-1/2	chr2:223752548-223752606	0	chr2:223725976,223752548+223752547-223752606	Alt3	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass
ACSL3	HsaALTA0000172-2/2	chr2:223752547-223752606	1	chr2:223725976,223752548+223752547-223752606	Alt3	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass
DNPEP	HsaALTA0002581-1/2	chr2:220250381-220250428	0	chr2:220250690,220250381-220250473+220250428	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
DNPEP	HsaALTA0002581-2/2	chr2:220250381-220250473	45	chr2:220250690,220250381-220250473+220250428	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
DNPEP	HsaALTA0002582-1/2	chr2:220251614-220251670	0	chr2:220251792,220251614-220251702+220251670	Alt3	0.00	Fail	100.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
DNPEP	HsaALTA0002582-2/2	chr2:220251614-220251702	32	chr2:220251792,220251614-220251702+220251670	Alt3	100.00	Fail	0.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
OBSL1	HsaALTA0005926-1/2	chr2:-220415564	0	chr2:220416251,-220415590+220415564	Alt3	100.00	Fail	82.35	Fail	100.00	Fail	100.00	Pass	90.00	Pass	94.12	Pass
OBSL1	HsaALTA0005926-2/2	chr2:-220415590	26	chr2:220416251,-220415590+220415564	Alt3	0.00	Fail	17.65	Fail	0.00	Fail	0.00	Pass	10.00	Pass	5.88	Pass
OBSL1	HsaALTA0005927-1/2	chr2:220431552-220431753	0	chr2:220431995,220431552-220431848+220431753	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
OBSL1	HsaALTA0005927-2/2	chr2:220431552-220431848	95	chr2:220431995,220431552-220431848+220431753	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail
OBSL1	HsaALTA0005928-1/2	chr2:220427181-220427294	0	chr2:220428077,220427181-220427396+220427294	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
OBSL1	HsaALTA0005928-2/2	chr2:220427181-220427396	102	chr2:220428077,220427181-220427396+220427294	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail
SLC12A4	HsaALTA0007835-1/2	chr16:67984869-67984916	0	chr16:67985043,67984869-67984963+67984916	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
SLC12A4	HsaALTA0007835-2/2	chr16:67984869-67984963	47	chr16:67985043,67984869-67984963+67984916	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail
CTCFL	HsaALTA0002225-1/2	chr20:56083662-56083760	0	chr20:56087648,56083662-56083844+56083760	Alt3	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CTCFL	HsaALTA0002225-2/2	chr20:56083662-56083844	84	chr20:56087648,56083662-56083844+56083760	Alt3	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
SNX21	HsaALTA0008102-1/2	chr20:44469087-44469097	0	chr20:44463755,44469087+44468961-44469097	Alt3	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail
SNX21	HsaALTA0008102-2/2	chr20:44468961-44469097	126	chr20:44463755,44469087+44468961-44469097	Alt3	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail
WFDC3	HsaALTA0009535-1/2	chr20:44418533-44418584	0	chr20:44420471,44418533-44418621+44418584	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
WFDC3	HsaALTA0009535-2/2	chr20:44418533-44418621	37	chr20:44420471,44418533-44418621+44418584	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
WFDC3	HsaALTA0009536-1/2	chr20:44405714-44405845	0	chr20:44416475,44405714-44405848+44405845	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail
WFDC3	HsaALTA0009536-2/2	chr20:44405714-44405848	3	chr20:44416475,44405714-44405848+44405845	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail
TTPAL	HsaALTA0009137-1/2	chr20:43108625-43109084	0	chr20:43104631,43108625+43108608-43109084	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass
TTPAL	HsaALTA0009137-2/2	chr20:43108608-43109084	17	chr20:43104631,43108625+43108608-43109084	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass
NCOA3	HsaALTA0005606-1/2	chr20:46257201-46257391	0	chr20:46256767,46257201+46257177-46257391	Alt3	0.00	Fail	0.00	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail
NCOA3	HsaALTA0005606-2/2	chr20:46257177-46257391	24	chr20:46256767,46257201+46257177-46257391	Alt3	100.00	Fail	100.00	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail
NCOA3	HsaALTA0005607-1/2	chr20:46262792-46262939	0	chr20:46262380,46262792+46262762-46262939	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
NCOA3	HsaALTA0005607-2/2	chr20:46262762-46262939	30	chr20:46262380,46262792+46262762-46262939	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
NCOA3	HsaALTA0005608-1/2	chr20:46264068-46264144	0	chr20:46262939,46264068+46264066-46264144	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
NCOA3	HsaALTA0005608-2/2	chr20:46264066-46264144	2	chr20:46262939,46264068+46264066-46264144	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
NCOA3	HsaALTA0005609-1/2	chr20:46268366-46268566	0	chr20:46267946,46268366+46268321-46268566	Alt3	4.00	Pass	16.67	Fail	7.50	Pass	8.96	Pass	3.92	Pass	1.91	Pass
NCOA3	HsaALTA0005609-2/2	chr20:46268321-46268566	45	chr20:46267946,46268366+46268321-46268566	Alt3	96.00	Pass	83.33	Fail	92.50	Pass	91.04	Pass	96.08	Pass	98.09	Pass
NCOA3	HsaALTA0005610-1/2	chr20:46279729-46280020	0	chr20:46277853,46279729+46279726-46280020	Alt3	55.37	Fail	60.33	Pass	48.75	Pass	54.28	Pass	38.03	Pass	60.15	Pass
NCOA3	HsaALTA0005610-2/2	chr20:46279726-46280020	3	chr20:46277853,46279729+46279726-46280020	Alt3	44.63	Fail	39.67	Pass	51.25	Pass	45.72	Pass	61.97	Pass	39.85	Pass
CHD6	HsaALTA0001850-1/2	chr20:40065960-40065972	0	chr20:40068640,40065960-40065974+40065972	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail
CHD6	HsaALTA0001850-2/2	chr20:40065960-40065974	2	chr20:40068640,40065960-40065974+40065972	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail
CHD6	HsaALTA0001851-1/2	chr20:40053900-40054029	0	chr20:40054733,40053900-40054034+40054029	Alt3	50.00	Fail	NA	Fail	NA	Fail	0.00	Pass	0.00	Pass	0.00	Fail
CHD6	HsaALTA0001851-2/2	chr20:40053900-40054034	5	chr20:40054733,40053900-40054034+40054029	Alt3	50.00	Fail	NA	Fail	NA	Fail	100.00	Pass	100.00	Pass	100.00	Fail
PLCG1	HsaALTA0006378-1/2	chr20:39792754-39792841	0	chr20:39792646,39792754+39792721-39792841	Alt3	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail
PLCG1	HsaALTA0006378-2/2	chr20:39792721-39792841	33	chr20:39792646,39792754+39792721-39792841	Alt3	NA	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail
PLCG1	HsaALTA0006379-1/2	chr20:39794284-39794429	0	chr20:39794191,39794284+39794279-39794429	Alt3	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail
PLCG1	HsaALTA0006379-2/2	chr20:39794279-39794429	5	chr20:39794191,39794284+39794279-39794429	Alt3	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail
PLCG1	HsaALTA0006380-1/2	chr20:39801061-39801285	0	chr20:39800929,39801061+39801051-39801285	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
PLCG1	HsaALTA0006380-2/2	chr20:39801051-39801285	10	chr20:39800929,39801061+39801051-39801285	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
